Bottle,Bottle_ID,Cast_Niskin,Logfile,AutoBOD_start_time_UTC,Depth,Notes
1,C1N11_2,C1N11,C001_021822_autoBOD.log,2/18/22 14:35,525,
2,C1N7_2,C1N7,C001_021822_autoBOD.log,2/18/22 14:35,300,
3,C1N3_1,C1N3,C001_021822_autoBOD.log,2/18/22 14:35,73,
4,C1N3_2,C1N3,C001_021822_autoBOD.log,2/18/22 14:35,73,
5,C1N5_1,C1N5,C001_021822_autoBOD.log,2/18/22 14:35,188,
6,C1N5_2,C1N5,C001_021822_autoBOD.log,2/18/22 14:35,188,
7,C1N11_1,C1N11,C001_021822_autoBOD.log,2/18/22 14:35,525,
8,C1N7_1,C1N7,C001_021822_autoBOD.log,2/18/22 14:35,300,
9,C1N9_1,C1N9,C001_021822_autoBOD.log,2/18/22 14:35,440,
10,C1N9_2,C1N9,C001_021822_autoBOD.log,2/18/22 14:35,440,
11,C1N1_1,C1N1,C001_021822_autoBOD.log,2/18/22 14:35,5,
12,C1N1_2,C1N1,C001_021822_autoBOD.log,2/18/22 14:35,5,
1,C1N11_2,C1N11,C001_021822_autoBOD-1.log,2/18/22 14:35,525,
2,C1N7_2,C1N7,C001_021822_autoBOD-1.log,2/18/22 14:35,300,
3,C1N3_1,C1N3,C001_021822_autoBOD-1.log,2/18/22 14:35,73,
4,C1N3_2,C1N3,C001_021822_autoBOD-1.log,2/18/22 14:35,73,
5,C1N5_1,C1N5,C001_021822_autoBOD-1.log,2/18/22 14:35,188,
6,C1N5_2,C1N5,C001_021822_autoBOD-1.log,2/18/22 14:35,188,
7,C1N11_1,C1N11,C001_021822_autoBOD-1.log,2/18/22 14:35,525,
8,C1N7_1,C1N7,C001_021822_autoBOD-1.log,2/18/22 14:35,300,
9,C1N9_1,C1N9,C001_021822_autoBOD-1.log,2/18/22 14:35,440,
10,C1N9_2,C1N9,C001_021822_autoBOD-1.log,2/18/22 14:35,440,
11,C1N1_1,C1N1,C001_021822_autoBOD-1.log,2/18/22 14:35,5,
12,C1N1_2,C1N1,C001_021822_autoBOD-1.log,2/18/22 14:35,5,
1,C6N15_2,C6N15,C002_021922_autoBOD.log,2/18/22 14:35,75,
2,C6N15_3,C6N15,C002_021922_autoBOD.log,2/18/22 14:35,75,
3,C1N3_1,C1N3,C002_021922_autoBOD.log,2/18/22 14:35,73,
4,C7N15_1,C7N15,C002_021922_autoBOD.log,2/18/22 14:35,73,
5,C1N5_1,C1N5,C002_021922_autoBOD.log,2/18/22 14:35,188,
6,C7N15_2,C7N15,C002_021922_autoBOD.log,2/18/22 14:35,73,
7,C1N11_1,C1N11,C002_021922_autoBOD.log,2/18/22 14:35,525,
8,C1N7_1,C1N7,C002_021922_autoBOD.log,2/18/22 14:35,300,
9,C1N9_1,C1N9,C002_021922_autoBOD.log,2/18/22 14:35,440,
10,C7N15_3,C7N15,C002_021922_autoBOD.log,2/18/22 14:35,73,
11,C1N1_1,C1N1,C002_021922_autoBOD.log,2/18/22 14:35,5,
12,C6N15_1,C6N15,C002_021922_autoBOD.log,2/18/22 14:35,75,
